territorio_codigo;territorio_nome;populacao_2022;variacao_absoluta_pop_2010_2022;taxa_crescimento_geometrico_pct;pib_mil_reais_2022;pib_mil_reais_2021;pib_per_capita_2022;variacao_pib_nominal_2021_2022_pct;vab_total_mil_reais_2021;vab_agropecuaria_mil_reais_2021;participacao_agropecuaria_2021_pct;vab_industria_mil_reais_2021;participacao_industria_2021_pct;vab_servicos_mil_reais_2021;participacao_servicos_2021_pct;vab_adm_publica_mil_reais_2021;participacao_adm_publica_2021_pct;perfil_setorial_dominante;cempre_unidades_locais;cempre_empresas;cempre_pessoal_ocupado_total;cempre_pessoal_ocupado_assalariado;proporcao_assalariados_pct;unidades_locais_por_mil_hab;intensidade_ocupacao_formal_pct;cempre_salarios_mil_reais_2022;cempre_salario_medio_mensal_reais;salarios_por_assalariado_mil_reais
2301307;Araripe;19783.0;-896.0;-0.37;219194;207982.0;11079.917100540868;5.3908511313479055;200319.0;36361.0;18.15;8032.0;4.01;48531.0;24.23;107395.0;53.61;Adm_publica;330.0;322.0;1440.0;1147.0;79.65277777777777;16.680988727695496;7.278976899358034;42236.0;2546.5;36.82301656495205
2301406;Aratuba;11224.0;-792.0;-0.57;159277;151645.0;14190.75196008553;5.032806884499983;146149.0;51354.0;35.14;3980.0;2.72;32495.0;22.23;58320.0;39.9;Adm_publica;187.0;184.0;1119.0;966.0;86.32707774798928;16.66072701354241;9.969707769066288;27369.0;2025.72;28.332298136645964
2301505;Arneiroz;7429.0;-221.0;-0.24;81651;70224.0;10990.846681922198;16.272214627477783;67145.0;14423.0;21.48;1828.0;2.72;17066.0;25.42;33827.0;50.38;Adm_publica;133.0;131.0;684.0;563.0;82.30994152046783;17.902813299232736;9.207161125319693;12835.0;1762.52;22.79751332149201
2301604;Assaré;21697.0;-701.0;-0.26;273041;237259.0;12584.274323639213;15.081408924424364;224824.0;44520.0;19.8;7706.0;3.43;75910.0;33.76;96689.0;43.01;Adm_publica;388.0;375.0;1897.0;1550.0;81.70795993674223;17.88265658846845;8.743144213485737;38673.0;1993.0;24.95032258064516
2301703;Aurora;23714.0;-852.0;-0.29;250837;216792.0;10577.591296280678;15.703992767260786;204272.0;31833.0;15.58;6992.0;3.42;65680.0;32.15;99768.0;48.84;Adm_publica;401.0;377.0;1744.0;1345.0;77.12155963302753;16.909842287256474;7.354305473559923;37631.0;1995.15;27.978438661710037
2301802;Baixio;5704.0;-322.0;-0.46;69658;67541.0;12212.131837307154;3.13439244310863;65606.0;14267.0;21.75;2166.0;3.3;14465.0;22.05;34708.0;52.9;Adm_publica;115.0;113.0;717.0;619.0;86.33193863319386;20.161290322580644;12.570126227208977;13800.0;1849.93;22.294022617124394
2301851;Banabuiú;17195.0;-107.0;-0.05;296956;260031.0;17269.904041872636;14.200229972580193;245742.0;52282.0;21.28;40825.0;16.61;66669.0;27.13;85966.0;34.98;Adm_publica;304.0;299.0;1920.0;1653.0;86.09375;17.679558011049725;11.16603663855772;44800.0;2089.06;27.10223835450696
2301901;Barbalha;75033.0;19510.0;2.54;1599703;1345205.0;21319.99253661722;18.91890083667545;1217465.0;143307.0;11.77;199962.0;16.42;584349.0;48.0;289848.0;23.81;Servicos;1652.0;1597.0;13522.0;11654.0;86.18547552137258;22.016979195820504;18.021403915610463;322364.0;2140.7;27.661232194954522
2301950;Barreira;22392.0;1739.0;0.68;267357;240016.0;11939.844587352625;11.391323911739217;226647.0;35044.0;15.46;13548.0;5.98;71941.0;31.74;106114.0;46.82;Adm_publica;436.0;430.0;1663.0;1239.0;74.50390859891762;19.471239728474455;7.426759556984637;39194.0;2390.79;31.63357546408394
2302008;Barro;19381.0;-2139.0;-0.87;262523;242027.0;13545.379495382076;8.468476657563;228368.0;44071.0;19.3;11318.0;4.96;77545.0;33.96;95433.0;41.79;Adm_publica;356.0;337.0;1539.0;1218.0;79.14230019493176;18.36850523708787;7.940766730302874;35785.0;1929.2;29.380131362889983
